qid	run	nDCG@10	delta_nDCG@10	nDCG@20	delta_nDCG@20	Recall@100	delta_Recall@100	Recall@1000	delta_Recall@1000	MAP	delta_MAP
273	Four-d4-b4-m05-g1	0.474967	0.078947	0.406912	0.045482	0.106968	-0.000450	0.254120	0.045038	0.107798	0.020221
273	Four-d4-b6-m1-g1	0.475993	0.079973	0.406720	0.045290	0.106968	-0.000450	0.255924	0.046842	0.106616	0.019039
273	Four-d6-b4-m1-g1	0.475533	0.079513	0.408659	0.047229	0.106968	-0.000450	0.251931	0.042849	0.108839	0.021262
300	BM25	0.374592	0.000000	0.379544	0.000000	0.097720	0.000000	0.180840	0.000000	0.103511	0.000000
300	DeepSeek-RRF	0.415604	0.041012	0.417759	0.038215	0.091071	-0.006649	0.254741	0.073902	0.135634	0.032123
300	BGE-o2	0.477145	0.102552	0.448521	0.068978	0.086638	-0.011082	0.254741	0.073902	0.137039	0.033529
300	Ensemble3	0.497290	0.122698	0.479961	0.100418	0.093802	-0.003918	0.254741	0.073902	0.148384	0.044874
300	Four-d2-b2-m1-g1	0.453462	0.078869	0.432750	0.053206	0.096766	-0.000954	0.254741	0.073902	0.143981	0.040470
300	Four-d4-b2-m1-g1	0.411732	0.037140	0.404641	0.025097	0.096621	-0.001099	0.254741	0.073902	0.142776	0.039266
300	Four-d4-b4-m1-g1	0.405466	0.030874	0.399377	0.019833	0.097525	-0.000195	0.255568	0.074728	0.137175	0.033664
300	Four-d4-b4-m05-g1	0.402861	0.028269	0.397861	0.018318	0.097224	-0.000496	0.255607	0.074767	0.133657	0.030147
300	Four-d4-b6-m1-g1	0.416147	0.041555	0.405484	0.025940	0.097564	-0.000156	0.251631	0.070792	0.132196	0.028686
300	Four-d6-b4-m1-g1	0.406791	0.032199	0.401662	0.022118	0.098235	0.000515	0.254741	0.073902	0.137457	0.033947
407	BM25	0.285418	0.000000	0.333602	0.000000	0.112872	0.000000	0.270907	0.000000	0.072813	0.000000
407	DeepSeek-RRF	0.254564	-0.030854	0.290264	-0.043339	0.101099	-0.011774	0.262441	-0.008466	0.070666	-0.002148
407	BGE-o2	0.387131	0.101713	0.386520	0.052917	0.111913	-0.000959	0.262441	-0.008466	0.088372	0.015559
407	Ensemble3	0.380894	0.095476	0.388522	0.054919	0.108991	-0.003881	0.262441	-0.008466	0.088180	0.015366
407	Four-d2-b2-m1-g1	0.380873	0.095456	0.407235	0.073633	0.118599	0.005727	0.262441	-0.008466	0.091056	0.018243
407	Four-d4-b2-m1-g1	0.348252	0.062834	0.378704	0.045101	0.112385	-0.000487	0.262441	-0.008466	0.086255	0.013442
407	Four-d4-b4-m1-g1	0.314173	0.028755	0.348365	0.014762	0.109423	-0.003449	0.265347	-0.005560	0.083576	0.010763
407	Four-d4-b4-m05-g1	0.311327	0.025909	0.333352	-0.000250	0.110022	-0.002851	0.270521	-0.000386	0.081433	0.008619
407	Four-d4-b6-m1-g1	0.318724	0.033306	0.339222	0.005619	0.112274	-0.000598	0.277389	0.006482	0.082475	0.009662
407	Four-d6-b4-m1-g1	0.298228	0.012810	0.336809	0.003207	0.107186	-0.005686	0.262441	-0.008466	0.081153	0.008340
477	BM25	0.560631	0.000000	0.474184	0.000000	0.101161	0.000000	0.267991	0.000000	0.132984	0.000000
477	DeepSeek-RRF	0.486585	-0.074046	0.469074	-0.005110	0.101701	0.000539	0.291618	0.023627	0.148935	0.015952
477	BGE-o2	0.616883	0.056252	0.552999	0.078814	0.090584	-0.010578	0.291618	0.023627	0.146423	0.013439
