qid	run	nDCG@10	delta_nDCG@10	nDCG@20	delta_nDCG@20	Recall@100	delta_Recall@100	Recall@1000	delta_Recall@1000	MAP	delta_MAP
273	BM25	0.396020	0.000000	0.361430	0.000000	0.107417	0.000000	0.209082	0.000000	0.087577	0.000000
273	DeepSeek-RRF	0.415772	0.019752	0.376097	0.014667	0.101520	-0.005897	0.251931	0.042849	0.104451	0.016873
273	MiniLM-o4	0.520643	0.124624	0.415565	0.054135	0.098940	-0.008478	0.251931	0.042849	0.111219	0.023642
273	BGE-o1	0.550227	0.154207	0.482957	0.121527	0.091114	-0.016303	0.251931	0.042849	0.107297	0.019720
273	BGE-o2	0.563442	0.167423	0.469816	0.108386	0.103277	-0.004141	0.251931	0.042849	0.112901	0.025323
273	BGE-o4	0.505036	0.109016	0.404764	0.043334	0.104889	-0.002528	0.251931	0.042849	0.112136	0.024558
273	BGE-o8	0.476488	0.080468	0.400913	0.039483	0.101912	-0.005506	0.251931	0.042849	0.109245	0.021668
300	BM25	0.374592	0.000000	0.379544	0.000000	0.097720	0.000000	0.180840	0.000000	0.103511	0.000000
300	DeepSeek-RRF	0.415604	0.041012	0.417759	0.038215	0.091071	-0.006649	0.254741	0.073902	0.135634	0.032123
300	MiniLM-o4	0.455068	0.080476	0.462655	0.083111	0.090205	-0.007515	0.254741	0.073902	0.147174	0.043664
300	BGE-o1	0.369969	-0.004623	0.363641	-0.015903	0.078910	-0.018810	0.254741	0.073902	0.116297	0.012786
300	BGE-o2	0.477145	0.102552	0.448521	0.068978	0.086638	-0.011082	0.254741	0.073902	0.137039	0.033529
300	BGE-o4	0.419253	0.044661	0.418357	0.038813	0.092042	-0.005678	0.254741	0.073902	0.139704	0.036194
300	BGE-o8	0.417997	0.043405	0.419269	0.039726	0.088932	-0.008788	0.254741	0.073902	0.138293	0.034782
407	BM25	0.285418	0.000000	0.333602	0.000000	0.112872	0.000000	0.270907	0.000000	0.072813	0.000000
407	DeepSeek-RRF	0.254564	-0.030854	0.290264	-0.043339	0.101099	-0.011774	0.262441	-0.008466	0.070666	-0.002148
407	MiniLM-o4	0.333195	0.047777	0.369168	0.035565	0.109007	-0.003866	0.262441	-0.008466	0.080749	0.007936
407	BGE-o1	0.422015	0.136597	0.412063	0.078461	0.099187	-0.013685	0.262441	-0.008466	0.093194	0.020380
